base_year,sector,industry,year,period_as_on,wri_index,updated_on
2016,Manufacturing Sector,Jute Textiles,2024,1st January,74.3,2026-04-29
2016,Manufacturing Sector,Textile Garments,2024,1st January,138.6,2026-04-29
2016,Manufacturing Sector,Textile Garments,2024,1st January,140.0,2026-04-29
2016,Manufacturing Sector,Textile Garments,2024,1st January,121.1,2026-04-29
2016,Manufacturing Sector,Textile Garments,2024,1st January,215.3,2026-04-29
2016,Manufacturing Sector,Textile Garments,2024,1st January,130.3,2026-04-29
2016,Manufacturing Sector,Textile Garments,2024,1st January,148.9,2026-04-29
2016,Manufacturing Sector,Textile Garments,2024,1st January,157.6,2026-04-29
2016,Manufacturing Sector,Textile Garments,2024,1st January,169.6,2026-04-29
2016,Manufacturing Sector,Textile Garments,2024,1st January,154.8,2026-04-29
2016,Manufacturing Sector,Textile Garments,2024,1st January,123.6,2026-04-29
2016,Manufacturing Sector,Textile Garments,2024,1st January,218.0,2026-04-29
2016,Manufacturing Sector,Textile Garments,2024,1st January,192.2,2026-04-29
2016,Manufacturing Sector,Textile Garments,2024,1st January,167.5,2026-04-29
2016,Manufacturing Sector,Textile Garments,2024,1st January,168.2,2026-04-29
2016,Manufacturing Sector,Textile Garments,2024,1st January,162.6,2026-04-29
2016,Manufacturing Sector,Textile Garments,2024,1st January,113.1,2026-04-29
2016,Manufacturing Sector,Textile Garments,2024,1st January,149.2,2026-04-29
2016,Manufacturing Sector,Textile Garments,2024,1st January,132.7,2026-04-29
2016,Manufacturing Sector,Textile Garments,2024,1st January,214.5,2026-04-29
2016,Manufacturing Sector,Textile Garments,2024,1st January,167.1,2026-04-29
2016,Manufacturing Sector,Textile Garments,2024,1st January,137.8,2026-04-29
2016,Manufacturing Sector,Paper,2024,1st January,157.1,2026-04-29
2016,Manufacturing Sector,Paper,2024,1st January,225.9,2026-04-29
2016,Manufacturing Sector,Paper,2024,1st January,168.4,2026-04-29
2016,Manufacturing Sector,Paper,2024,1st January,186.2,2026-04-29
2016,Manufacturing Sector,Paper,2024,1st January,174.3,2026-04-29
2016,Manufacturing Sector,Paper,2024,1st January,147.5,2026-04-29
2016,Manufacturing Sector,Paper,2024,1st January,116.9,2026-04-29
2016,Manufacturing Sector,Paper,2024,1st January,144.4,2026-04-29
2016,Manufacturing Sector,Paper,2024,1st January,163.4,2026-04-29
2016,Manufacturing Sector,Paper,2024,1st January,148.3,2026-04-29
2016,Manufacturing Sector,Paper,2024,1st January,126.0,2026-04-29
2016,Manufacturing Sector,Paper,2024,1st January,217.1,2026-04-29
2016,Manufacturing Sector,Paper,2024,1st January,104.9,2026-04-29
2016,Manufacturing Sector,Paper,2024,1st January,128.6,2026-04-29
2016,Manufacturing Sector,Paper,2024,1st January,165.7,2026-04-29
2016,Manufacturing Sector,Paper,2024,1st January,168.3,2026-04-29
2016,Manufacturing Sector,Paper,2024,1st January,177.2,2026-04-29
2016,Manufacturing Sector,Paper,2024,1st January,165.8,2026-04-29
2016,Manufacturing Sector,Paper,2024,1st January,161.3,2026-04-29
2016,Manufacturing Sector,Paper,2024,1st January,133.1,2026-04-29
2016,Manufacturing Sector,Paper,2024,1st January,190.0,2026-04-29
2016,Manufacturing Sector,Paper,2024,1st January,221.2,2026-04-29
2016,Manufacturing Sector,Paper,2024,1st January,168.8,2026-04-29
2016,Manufacturing Sector,Printing/Publishing,2024,1st January,163.6,2026-04-29
2016,Manufacturing Sector,Printing/Publishing,2024,1st January,201.2,2026-04-29
2016,Manufacturing Sector,Printing/Publishing,2024,1st January,140.3,2026-04-29
2016,Manufacturing Sector,Printing/Publishing,2024,1st January,137.9,2026-04-29
2016,Manufacturing Sector,Printing/Publishing,2024,1st January,160.9,2026-04-29
2016,Manufacturing Sector,Printing/Publishing,2024,1st January,122.6,2026-04-29
2016,Manufacturing Sector,Printing/Publishing,2024,1st January,189.4,2026-04-29
2016,Manufacturing Sector,Printing/Publishing,2024,1st January,158.4,2026-04-29
2016,Manufacturing Sector,Printing/Publishing,2024,1st January,140.7,2026-04-29
2016,Manufacturing Sector,Printing/Publishing,2024,1st January,162.5,2026-04-29
