year,month,group,item,category,value_cr,source_url,source,updated_on
2023,September,Financial Assets,Bank Deposits,Commercial Banks,502260.7,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2023,December,Financial Assets,Bank Deposits,Commercial Banks,280096.7,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2024,March,Financial Assets,Bank Deposits,Commercial Banks,383460.6,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2023,June,Financial Assets,Bank Deposits,Co-operative Banks,9170.2,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2023,September,Financial Assets,Bank Deposits,Co-operative Banks,-492.2,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2023,December,Financial Assets,Bank Deposits,Co-operative Banks,-2664.7,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2024,March,Financial Assets,Bank Deposits,Co-operative Banks,7259.8,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2023,June,Financial Assets,Non-Bank Deposits,,13676.2,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2023,September,Financial Assets,Non-Bank Deposits,,-93820.5,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2023,December,Financial Assets,Non-Bank Deposits,,19499.4,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2024,March,Financial Assets,Non-Bank Deposits,,15986.5,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2023,June,Financial Assets,Other Financial Institutions,,-485.4,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2023,September,Financial Assets,Other Financial Institutions,,-107982.1,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2023,December,Financial Assets,Other Financial Institutions,,5337.7,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2024,March,Financial Assets,Other Financial Institutions,,1824.9,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
2023,June,Financial Assets,Other Financial Institutions,Non-Banking Financial Companies,6119.3,https://www.rbi.org.in/Scripts/QuarterlyPublications.aspx?head=Household+Financial+Savings,RBI,2026-04-30
